year,month,day,driver_id,driver_car_level,max_finish_time,driver_city_id,driver_phone,last_online_time,min_fast_finish_time,min_gulf_finish_time
2019,06,11,598134346648931,500,0000-00-00 00:00:00,3,15625112892,2019-04-01,9999-99-99 99:99:99,
2019,06,11,598134346635346,600,0000-00-00 00:00:00,3,15812004959,0000-00-00,9999-99-99 99:99:99,
2019,06,11,598134346488437,800,0000-00-00 00:00:00,3,13893187962,null,9999-99-99 99:99:99,
2019,06,11,598134344951571,500,0000-00-00 00:00:00,3,15971254007,2019-04-01,9999-99-99 99:99:99,
2019,06,11,598134343064296,600,0000-00-00 00:00:00,3,13858421866,2019-04-01,2019-04-01 11:20:41,
2019,06,11,598134342589922,800,0000-00-00 00:00:00,3,15250091405,2019-04-01,2019-04-01 11:20:41,
2019,06,11,112233,900,0000-00-00 00:00:00,3,15971254007,2019-04-01,9999-99-99 99:99:99,
2019,06,11,223344,900,0000-00-00 00:00:00,3,13858421866,2019-04-01,2019-04-01 11:20:41,
2019,06,11,334455,900,0000-00-00 00:00:00,3,15250091405,2019-04-01,2019-04-01 11:20:41,
2019,06,10,598134343064296,900,0000-00-00 00:00:00,3,13858421866,2019-04-01,2019-04-01 11:20:41,
2019,06,10,598134346488437,900,0000-00-00 00:00:00,3,13893187962,null,9999-99-99 99:99:99,
